robot_ts,x,y,z,w,p,r,ee,cam0_frame,cam0_ts,cam1_frame,cam1_ts,cam0_path,cam1_path
2025-06-20T18:37:07.958477,-0.8254699110984802,0.11518330127000809,0.7821764349937439,0.6409141421318054,0.4890819787979126,0.13828980922698975,0.449239045381546,0,2025-06-20T18:37:07.958477,0,2025-06-20T18:37:07.958477,.synthetic_data/episode_003/frames_cam0/cam0_0000.png,.synthetic_data/episode_003/frames_cam1/cam1_0000.png
2025-06-20T18:37:08.058477,0.893224835395813,-0.5533192753791809,-0.03904905542731285,0.83183354139328,-0.3601711690425873,0.7937286496162415,-0.06729867309331894,1,2025-06-20T18:37:08.058477,1,2025-06-20T18:37:08.058477,.synthetic_data/episode_003/frames_cam0/cam0_0001.png,.synthetic_data/episode_003/frames_cam1/cam1_0001.png
2025-06-20T18:37:08.158477,0.14909349381923676,-0.37984877824783325,0.6821087002754211,-0.4537273049354553,-0.21340808272361755,0.6784112453460693,0.606336772441864,2,2025-06-20T18:37:08.158477,2,2025-06-20T18:37:08.158477,.synthetic_data/episode_003/frames_cam0/cam0_0002.png,.synthetic_data/episode_003/frames_cam1/cam1_0002.png
2025-06-20T18:37:08.258477,-0.5524915456771851,-0.43371281027793884,0.9602267146110535,0.5574124455451965,-0.777559757232666,0.1612253487110138,0.4456072151660919,3,2025-06-20T18:37:08.258477,3,2025-06-20T18:37:08.258477,.synthetic_data/episode_003/frames_cam0/cam0_0003.png,.synthetic_data/episode_003/frames_cam1/cam1_0003.png
2025-06-20T18:37:08.358477,-0.628779411315918,0.4296329915523529,-0.7052459120750427,0.6372053027153015,0.7870879769325256,-0.05668283998966217,0.7172353863716125,4,2025-06-20T18:37:08.358477,4,2025-06-20T18:37:08.358477,.synthetic_data/episode_003/frames_cam0/cam0_0004.png,.synthetic_data/episode_003/frames_cam1/cam1_0004.png
2025-06-20T18:37:08.458477,0.7512355446815491,-0.6221195459365845,0.3662373125553131,0.228459432721138,0.7943039536476135,0.2818391025066376,0.42562851309776306,5,2025-06-20T18:37:08.458477,5,2025-06-20T18:37:08.458477,.synthetic_data/episode_003/frames_cam0/cam0_0005.png,.synthetic_data/episode_003/frames_cam1/cam1_0005.png
2025-06-20T18:37:08.558477,0.5696001052856445,-0.7624432444572449,-0.46280407905578613,0.6366057991981506,0.20137466490268707,0.8470564484596252,-0.029877372086048126,6,2025-06-20T18:37:08.558477,6,2025-06-20T18:37:08.558477,.synthetic_data/episode_003/frames_cam0/cam0_0006.png,.synthetic_data/episode_003/frames_cam1/cam1_0006.png
2025-06-20T18:37:08.658477,-0.7157117128372192,0.5710289478302002,-0.10393350571393967,-0.2880761921405792,-0.06024589762091637,-0.07153692096471786,-0.12367239594459534,7,2025-06-20T18:37:08.658477,7,2025-06-20T18:37:08.658477,.synthetic_data/episode_003/frames_cam0/cam0_0007.png,.synthetic_data/episode_003/frames_cam1/cam1_0007.png
2025-06-20T18:37:08.758477,0.9847357869148254,0.6911824941635132,0.13645468652248383,-0.6419493556022644,-0.2990427613258362,0.5980836153030396,-0.9846879839897156,8,2025-06-20T18:37:08.758477,8,2025-06-20T18:37:08.758477,.synthetic_data/episode_003/frames_cam0/cam0_0008.png,.synthetic_data/episode_003/frames_cam1/cam1_0008.png
2025-06-20T18:37:08.858477,-0.6884839534759521,-0.11564109474420547,-0.47434526681900024,0.5216548442840576,0.0987384095788002,-0.27049922943115234,0.30532872676849365,9,2025-06-20T18:37:08.858477,9,2025-06-20T18:37:08.858477,.synthetic_data/episode_003/frames_cam0/cam0_0009.png,.synthetic_data/episode_003/frames_cam1/cam1_0009.png
